Epoch 269: duration loss = 0.162 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 270: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 271: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 272: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 273: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 274: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 275: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 276: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.052
Epoch 277: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.054
Epoch 278: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.053
Epoch 279: duration loss = 0.161 | prior loss = 0.957 | diffusion loss = 0.054
